amount,total,price,type
0.5,24.26878000000004,43091.92,buy
0.00281,24.27159000000004,43091.49,buy
0.00122,24.27281000000004,43090.99,buy
0.2,24.472810000000038,43089.35,buy
0.101,24.573810000000037,43088.75,buy
0.00122,24.575030000000037,43086.65,buy
0.00254,24.577570000000037,43086.54,buy
0.00218,24.579750000000036,43085.23,buy
0.0024,24.582150000000038,43084.96,buy
0.00231,24.58446000000004,43084.4,buy
0.2159,24.80036000000004,43083.6,buy
0.00116,24.80152000000004,43082.4,buy
0.00122,24.80274000000004,43082.32,buy
0.00087,24.803610000000038,43080.85,buy
0.00046,24.80407000000004,43080.79,buy
0.018,24.82207000000004,43080.74,buy
0.101,24.92307000000004,43080.5,buy
0.0101,24.93317000000004,43080.0,buy
0.21,25.14317000000004,43079.94,buy
0.00046,25.14363000000004,43078.67,buy
0.0004,25.14403000000004,43078.54,buy
0.00122,25.14525000000004,43077.98,buy
0.00673,25.15198000000004,43077.28,buy
0.0005,25.15248000000004,43073.75,buy
0.00168,25.15416000000004,43073.64,buy
1e-05,25.15417000000004,43073.46,buy
0.00276,25.156930000000038,43072.79,buy
0.00211,25.159040000000036,43071.2,buy
0.00525,25.164290000000037,43071.07,buy
0.00128,25.165570000000038,43070.34,buy
0.00122,25.166790000000038,43069.31,buy
0.00047,25.167260000000038,43068.89,buy
0.17305,25.340310000000038,43068.8,buy
0.21,25.55031000000004,43067.97,buy
0.00025,25.55056000000004,43066.32,buy
0.00046,25.55102000000004,43066.18,buy
0.032,25.58302000000004,43065.85,buy
0.01068,25.59370000000004,43065.0,buy
0.00122,25.59492000000004,43064.97,buy
0.00159,25.59651000000004,43063.62,buy
0.2,25.79651000000004,43063.02,buy
0.00638,25.80289000000004,43062.48,buy
0.00254,25.80543000000004,43061.8,buy
0.00541,25.81084000000004,43061.48,buy
0.00026,25.811100000000042,43061.37,buy
0.00218,25.81328000000004,43061.22,buy
0.00261,25.815890000000042,43060.97,buy
0.00122,25.817110000000042,43060.64,buy
0.00046,25.817570000000043,43060.0,buy
0.0027,25.820270000000043,43059.61,buy
0.00251,25.822780000000044,43058.12,buy
0.00024,25.823020000000046,43057.14,buy
0.00122,25.824240000000046,43056.3,buy
0.0031,25.827340000000046,43054.6,buy
0.00049,25.827830000000045,43054.01,buy
0.00122,25.829050000000045,43051.97,buy
0.00193,25.830980000000046,43051.67,buy
0.00046,25.831440000000047,43051.57,buy
0.00276,25.834200000000045,43051.33,buy
0.00198,25.836180000000045,43051.02,buy
0.0025,25.838680000000046,43051.0,buy
0.00406,25.842740000000045,43050.4,buy
0.00028,25.843020000000045,43050.32,buy
0.3328,26.175820000000044,43050.29,buy
0.01035,26.186170000000043,43050.0,buy
0.18621,26.372380000000042,43049.68,buy
0.0005,26.37288000000004,43049.46,buy
0.00052,26.373400000000043,43047.79,buy
0.00122,26.374620000000043,43047.63,buy
0.51654,26.891160000000042,43045.98,buy
0.24532,27.13648000000004,43045.64,buy
0.00581,27.14229000000004,43045.32,buy
0.00081,27.143100000000043,43045.28,buy
